HUD frame time nsec:,16658000

Range Index,Elapsed Time, First Event,Last Event
0,14688,2,2
1,40576,18,18
2,704,48,48
3,736,65,65
4,736,82,82
5,832,99,99
6,736,116,116
7,800,133,133
8,704,150,150
9,704,167,167
10,704,184,184
11,736,201,201
12,704,218,218
13,704,235,235
14,736,252,252
15,736,269,269
16,704,286,286
17,896,303,303
18,704,320,320
19,704,337,337
20,736,354,354
21,736,371,371
22,704,388,388
23,704,405,405
24,704,422,422
25,736,439,439
26,736,456,456
27,704,473,473
28,704,490,490
29,704,507,507
30,704,524,524
31,704,541,541
32,704,558,558
33,800,575,575
34,736,592,592
35,736,609,609
36,704,626,626
37,736,643,643
38,704,660,660
39,704,677,677
40,704,694,694
41,736,711,711
42,704,728,728
43,704,745,745
44,896,762,762
45,704,779,779
46,704,796,796
47,704,813,813
48,704,830,830
49,704,847,847
50,736,864,864
51,704,881,881
52,704,898,898
53,736,915,915
54,736,932,932
55,736,949,949
56,736,966,966
57,736,983,983
58,704,1000,1000
59,736,1017,1017
60,704,1034,1034
61,736,1051,1051
62,704,1068,1068
63,704,1085,1085
64,736,1102,1102
65,704,1119,1119
66,704,1136,1136
67,704,1153,1153
68,736,1170,1170
69,736,1187,1187
70,704,1204,1204
71,832,1221,1221
72,800,1238,1238
73,832,1255,1255
74,736,1272,1272
75,800,1289,1289
76,832,1306,1306
77,864,1323,1323
78,896,1340,1340
79,928,1357,1357
80,896,1374,1374
81,864,1391,1391
82,896,1408,1408
83,832,1425,1425
84,864,1442,1442
85,896,1459,1459
86,896,1476,1476
87,896,1493,1493
88,864,1510,1510
89,704,1527,1527
90,704,1544,1544
91,736,1565,1565
92,7872,1575,1575
93,5088,1596,1596
94,4480,1610,1610
95,4384,1624,1624
96,4448,1638,1638
97,4512,1652,1652
98,4288,1666,1666
99,4416,1680,1680
100,4352,1694,1694
101,4544,1708,1708
102,4256,1722,1722
103,4160,1736,1736
104,4224,1750,1750
105,4288,1764,1764
106,19488,1778,1778
107,4480,1792,1792
108,4416,1806,1806
109,4384,1820,1820
110,4320,1834,1834
111,4288,1848,1848
112,4320,1862,1862
113,14528,1872,1872
114,736,1887,1887
115,13682368,1902,1902
